original_index,delta,period,city
2554,615.3000000000002,1,GRONINGEN
428,-583.74,1,GRONINGEN
1573,-2264.42,1,GRONINGEN
2448,694.23,1,GRONINGEN
610,-143.72000000000003,1,GRONINGEN
2679,-1162.0300000000002,1,GRONINGEN
801,-1233.81,1,GRONINGEN
3866,-496.0,1,GRONINGEN
1506,-226.1099999999999,1,GRONINGEN
3330,-3616.25,1,GRONINGEN
1964,2017.92,1,GRONINGEN
3368,-812.25,1,GRONINGEN
2761,-1326.11,1,GRONINGEN
2944,265.77,1,GRONINGEN
2100,1274.75,1,GRONINGEN
1369,-2427.7,1,GRONINGEN
3896,-558.8899999999999,1,GRONINGEN
2538,-448.25,1,GRONINGEN
1996,-4675.35,1,GRONINGEN
965,316.40999999999985,1,GRONINGEN
1813,246.46000000000004,1,GRONINGEN
977,-1491.23,1,GRONINGEN
1044,-348.72,1,GRONINGEN
3935,-1446.12,1,GRONINGEN
1425,3138.1800000000003,1,GRONINGEN
995,-2849.39,1,GRONINGEN
2372,-1979.8600000000001,1,GRONINGEN
3732,7694.9400000000005,1,GRONINGEN
1864,1062.0,1,GRONINGEN
2538,-448.25,1,GRONINGEN
1577,-191.58999999999992,1,GRONINGEN
2392,-2781.58,1,GRONINGEN
229,-8194.619999999999,1,GRONINGEN
1218,-625.25,1,GRONINGEN
1489,-1632.08,1,GRONINGEN
1249,-727.8299999999999,1,GRONINGEN
2204,27726.5,1,GRONINGEN
2687,225.90999999999985,1,GRONINGEN
2617,-526.75,1,GRONINGEN
2825,-2778.6,1,GRONINGEN
490,-198.13999999999987,1,GRONINGEN
1453,154.0300000000002,1,GRONINGEN
2830,-1113.71,1,GRONINGEN
1714,-2319.94,1,GRONINGEN
3290,-728.8000000000002,1,GRONINGEN
1657,-2090.19,1,GRONINGEN
1914,1468.5700000000002,1,GRONINGEN
1056,-283.6700000000001,1,GRONINGEN
2290,-1341.3000000000002,1,GRONINGEN
1002,1703.21,1,GRONINGEN
1602,-6126.92,1,GRONINGEN
1284,-2702.91,1,GRONINGEN
2353,-294.5300000000002,1,GRONINGEN
2743,-1329.74,1,GRONINGEN
3099,21.329999999999927,1,GRONINGEN
873,-661.3499999999999,1,GRONINGEN
2465,-563.77,1,GRONINGEN
2333,-452.6400000000001,1,GRONINGEN
308,7836.27,1,GRONINGEN
2754,-1816.58,1,GRONINGEN
3938,-1571.13,1,GRONINGEN
2268,2629.09,1,GRONINGEN
3319,1063.4099999999999,1,GRONINGEN
2946,-902.3499999999999,1,GRONINGEN
3519,287.46000000000004,1,GRONINGEN
1103,594.3800000000001,1,GRONINGEN
3172,-775.6500000000001,1,GRONINGEN
2192,2073.0,1,GRONINGEN
1261,762.4699999999998,1,GRONINGEN
3448,1278.6399999999999,1,GRONINGEN
3961,468.1999999999998,1,GRONINGEN
446,-842.0699999999999,1,GRONINGEN
683,-10480.2,1,GRONINGEN
3603,342.02,1,GRONINGEN
2809,-722.3800000000001,1,GRONINGEN
93,-412.6199999999999,1,GRONINGEN
2206,194.0999999999999,1,GRONINGEN
3288,-994.2399999999998,1,GRONINGEN
2546,-2435.63,1,GRONINGEN
2452,-580.3000000000002,1,GRONINGEN
2559,-473.5799999999999,1,GRONINGEN
1979,-5241.5,1,GRONINGEN
20,-5789.04,1,GRONINGEN
2325,-1781.0,1,GRONINGEN
16,5899.209999999999,1,GRONINGEN
3327,-848.5,1,GRONINGEN
594,-1220.44,1,GRONINGEN
2334,-7992.95,1,GRONINGEN
1109,-645.25,1,GRONINGEN
3024,-1778.4699999999998,1,GRONINGEN
1614,-311.31999999999994,1,GRONINGEN
2396,-1077.4499999999998,1,GRONINGEN
1462,-2544.0299999999997,1,GRONINGEN
721,-1963.47,1,GRONINGEN
3443,624.06,1,GRONINGEN
2503,532.9499999999998,1,GRONINGEN
2036,609.77,1,GRONINGEN
2156,19718.64,1,GRONINGEN
3994,-1530.71,1,GRONINGEN
492,733.1999999999998,1,GRONINGEN
1117,6870.530000000001,1,GRONINGEN
182,-44.36000000000013,1,GRONINGEN
2738,-282.59000000000015,1,GRONINGEN
539,-288.6700000000001,1,GRONINGEN
300,11564.17,1,GRONINGEN
75,15647.23,1,GRONINGEN
1863,154.32000000000016,1,GRONINGEN
1221,10498.88,1,GRONINGEN
1751,-2696.76,1,GRONINGEN
49,-5683.75,1,GRONINGEN
3088,1315.33,1,GRONINGEN
3023,-775.6599999999999,1,GRONINGEN
2381,189.3499999999999,1,GRONINGEN
975,1302.81,1,GRONINGEN
1274,-2332.06,1,GRONINGEN
879,-290.5,1,GRONINGEN
2572,419.19000000000005,1,GRONINGEN
2636,2430.83,1,GRONINGEN
3848,-6804.23,1,GRONINGEN
1516,2472.3100000000004,1,GRONINGEN
2383,-7136.89,1,GRONINGEN
802,-143.30000000000018,1,GRONINGEN
2372,-1979.8600000000001,1,GRONINGEN
1223,-12344.619999999999,1,GRONINGEN
169,2860.17,1,GRONINGEN
970,-1124.85,1,GRONINGEN
2990,10661.0,1,GRONINGEN
