original_index,delta,period,city
927,1776,1,AMSTERDAM
3181,-3374,1,AMSTERDAM
14185,7243,1,AMSTERDAM
13762,-536,1,AMSTERDAM
7539,-3032,1,AMSTERDAM
6760,-1059,1,AMSTERDAM
3198,224,1,AMSTERDAM
13840,87,1,AMSTERDAM
3875,336,1,AMSTERDAM
4489,8640,1,AMSTERDAM
11735,-982,1,AMSTERDAM
5016,1266,1,AMSTERDAM
13132,-24,1,AMSTERDAM
9507,-1202,1,AMSTERDAM
6691,-929,1,AMSTERDAM
13450,2536,1,AMSTERDAM
371,8219,1,AMSTERDAM
5794,-1221,1,AMSTERDAM
14089,-570,1,AMSTERDAM
14297,-1307,1,AMSTERDAM
10711,2081,1,AMSTERDAM
5492,712,1,AMSTERDAM
7823,-1266,1,AMSTERDAM
3164,-60,1,AMSTERDAM
6632,5227,1,AMSTERDAM
1425,-975,1,AMSTERDAM
5068,-1338,1,AMSTERDAM
10471,-358,1,AMSTERDAM
11460,803,1,AMSTERDAM
6666,-4154,1,AMSTERDAM
1182,94,1,AMSTERDAM
7009,-200,1,AMSTERDAM
961,1664,1,AMSTERDAM
2562,4419,1,AMSTERDAM
5112,-84,1,AMSTERDAM
5354,-135,1,AMSTERDAM
81,-1787,1,AMSTERDAM
8644,-1210,1,AMSTERDAM
824,-444,1,AMSTERDAM
9263,-1415,1,AMSTERDAM
3845,-1781,1,AMSTERDAM
826,181,1,AMSTERDAM
9202,-2066,1,AMSTERDAM
13366,216,1,AMSTERDAM
9977,893,1,AMSTERDAM
1526,-7577,1,AMSTERDAM
10807,6792,1,AMSTERDAM
4972,-340,1,AMSTERDAM
1464,370,1,AMSTERDAM
4617,1629,1,AMSTERDAM
6706,307,1,AMSTERDAM
12414,507,1,AMSTERDAM
1943,11552,1,AMSTERDAM
9247,-6345,1,AMSTERDAM
10191,-2362,1,AMSTERDAM
9989,565,1,AMSTERDAM
12434,-17580,1,AMSTERDAM
13370,-124,1,AMSTERDAM
5621,-133,1,AMSTERDAM
2287,710,1,AMSTERDAM
6998,-629,1,AMSTERDAM
21,59,1,AMSTERDAM
9515,501,1,AMSTERDAM
11621,-7022,1,AMSTERDAM
4242,-2046,1,AMSTERDAM
167,-434,1,AMSTERDAM
3295,-440,1,AMSTERDAM
11197,-1664,1,AMSTERDAM
9024,-223,1,AMSTERDAM
4128,7048,1,AMSTERDAM
4174,926,1,AMSTERDAM
3557,-2585,1,AMSTERDAM
7890,3512,1,AMSTERDAM
13175,-2674,1,AMSTERDAM
6037,-1047,1,AMSTERDAM
3684,1145,1,AMSTERDAM
9398,-1809,1,AMSTERDAM
2062,-73,1,AMSTERDAM
10283,517,1,AMSTERDAM
9808,-608,1,AMSTERDAM
11749,5997,1,AMSTERDAM
3450,-4358,1,AMSTERDAM
10697,-32,1,AMSTERDAM
14479,-1939,1,AMSTERDAM
13261,-509,1,AMSTERDAM
14002,614,1,AMSTERDAM
7192,-54,1,AMSTERDAM
3140,-243,1,AMSTERDAM
7485,-637,1,AMSTERDAM
10014,-71,1,AMSTERDAM
13767,-2587,1,AMSTERDAM
2572,-715,1,AMSTERDAM
375,3920,1,AMSTERDAM
2413,289,1,AMSTERDAM
4506,-2036,1,AMSTERDAM
10331,3221,1,AMSTERDAM
2151,3483,1,AMSTERDAM
7121,712,1,AMSTERDAM
12568,3974,1,AMSTERDAM
10901,967,1,AMSTERDAM
11688,-311,1,AMSTERDAM
14668,3779,1,AMSTERDAM
959,1215,1,AMSTERDAM
3961,359,1,AMSTERDAM
12776,-645,1,AMSTERDAM
6143,3901,1,AMSTERDAM
8303,379,1,AMSTERDAM
3407,40,1,AMSTERDAM
10312,2074,1,AMSTERDAM
7192,-54,1,AMSTERDAM
7600,-1524,1,AMSTERDAM
8096,179,1,AMSTERDAM
6914,-1684,1,AMSTERDAM
9218,337,1,AMSTERDAM
9786,-342,1,AMSTERDAM
2787,-200,1,AMSTERDAM
9835,-1637,1,AMSTERDAM
2196,-1657,1,AMSTERDAM
1615,-2899,1,AMSTERDAM
3284,-1395,1,AMSTERDAM
9982,845,1,AMSTERDAM
12488,-1988,1,AMSTERDAM
14925,-1480,1,AMSTERDAM
12717,-2577,1,AMSTERDAM
8295,-829,1,AMSTERDAM
12462,701,1,AMSTERDAM
4769,1844,1,AMSTERDAM
12366,1930,1,AMSTERDAM
1039,-1228,1,AMSTERDAM
5768,9040,1,AMSTERDAM
2833,-298,1,AMSTERDAM
5064,-154,1,AMSTERDAM
3765,-18586,1,AMSTERDAM
13904,990,1,AMSTERDAM
7971,368,1,AMSTERDAM
10559,-3454,1,AMSTERDAM
9243,1119,1,AMSTERDAM
3329,-323,1,AMSTERDAM
14486,-7211,1,AMSTERDAM
7962,472,1,AMSTERDAM
10184,-1987,1,AMSTERDAM
3124,-1498,1,AMSTERDAM
9938,862,1,AMSTERDAM
9194,725,1,AMSTERDAM
3462,-964,1,AMSTERDAM
2477,4139,1,AMSTERDAM
12179,-453,1,AMSTERDAM
12346,-257,1,AMSTERDAM
10426,-1390,1,AMSTERDAM
11807,174,1,AMSTERDAM
6601,535,1,AMSTERDAM
5411,-2072,1,AMSTERDAM
8632,664,1,AMSTERDAM
9772,-1312,1,AMSTERDAM
7247,-799,1,AMSTERDAM
2360,570,1,AMSTERDAM
4725,-3558,1,AMSTERDAM
12263,-2070,1,AMSTERDAM
6615,-458,1,AMSTERDAM
6238,-620,1,AMSTERDAM
13341,-29,1,AMSTERDAM
14410,-1411,1,AMSTERDAM
4141,-907,1,AMSTERDAM
476,5891,1,AMSTERDAM
3999,289,1,AMSTERDAM
3964,-887,1,AMSTERDAM
5991,205,1,AMSTERDAM
4297,-588,1,AMSTERDAM
12938,7346,1,AMSTERDAM
9841,-880,1,AMSTERDAM
5990,183,1,AMSTERDAM
10505,534,1,AMSTERDAM
7633,543,1,AMSTERDAM
6536,1757,1,AMSTERDAM
9684,2290,1,AMSTERDAM
12683,560,1,AMSTERDAM
13358,420,1,AMSTERDAM
9452,434,1,AMSTERDAM
4672,-14251,1,AMSTERDAM
10943,-2699,1,AMSTERDAM
9767,-1660,1,AMSTERDAM
3973,567,1,AMSTERDAM
963,869,1,AMSTERDAM
13449,3063,1,AMSTERDAM
7339,-1046,1,AMSTERDAM
13798,-584,1,AMSTERDAM
5880,1918,1,AMSTERDAM
10061,-4254,1,AMSTERDAM
12929,14761,1,AMSTERDAM
11105,-10427,1,AMSTERDAM
3941,-286,1,AMSTERDAM
10699,-314,1,AMSTERDAM
11963,1025,1,AMSTERDAM
3667,1633,1,AMSTERDAM
553,16096,1,AMSTERDAM
13988,-721,1,AMSTERDAM
8221,-653,1,AMSTERDAM
2860,-839,1,AMSTERDAM
12268,1286,1,AMSTERDAM
10042,-715,1,AMSTERDAM
2245,1356,1,AMSTERDAM
12335,-43,1,AMSTERDAM
14236,-877,1,AMSTERDAM
1579,7762,1,AMSTERDAM
11261,-173,1,AMSTERDAM
1980,-899,1,AMSTERDAM
1694,1774,1,AMSTERDAM
6720,1987,1,AMSTERDAM
8474,301,1,AMSTERDAM
10557,229,1,AMSTERDAM
10497,1042,1,AMSTERDAM
14634,57,1,AMSTERDAM
587,-3621,1,AMSTERDAM
11926,407,1,AMSTERDAM
10539,6595,1,AMSTERDAM
2445,1842,1,AMSTERDAM
782,-1622,1,AMSTERDAM
9356,2102,1,AMSTERDAM
4571,-1624,1,AMSTERDAM
8661,-293,1,AMSTERDAM
3686,-438,1,AMSTERDAM
9224,5131,1,AMSTERDAM
2650,-173,1,AMSTERDAM
2601,-184,1,AMSTERDAM
7872,514,1,AMSTERDAM
7007,1017,1,AMSTERDAM
7439,-3144,1,AMSTERDAM
4605,67,1,AMSTERDAM
6111,158,1,AMSTERDAM
11476,1059,1,AMSTERDAM
12578,903,1,AMSTERDAM
5841,4223,1,AMSTERDAM
2130,-4338,1,AMSTERDAM
6719,484,1,AMSTERDAM
10262,618,1,AMSTERDAM
10779,194,1,AMSTERDAM
8321,-1433,1,AMSTERDAM
10505,534,1,AMSTERDAM
11506,2140,1,AMSTERDAM
8588,-6885,1,AMSTERDAM
11070,-1966,1,AMSTERDAM
9165,-526,1,AMSTERDAM
11412,-15556,1,AMSTERDAM
4394,-1687,1,AMSTERDAM
8003,-401,1,AMSTERDAM
10393,24,1,AMSTERDAM
3566,165,1,AMSTERDAM
12624,-2211,1,AMSTERDAM
7630,4623,1,AMSTERDAM
3521,1333,1,AMSTERDAM
1112,384,1,AMSTERDAM
10844,7790,1,AMSTERDAM
12839,85,1,AMSTERDAM
9570,1661,1,AMSTERDAM
1224,-7201,1,AMSTERDAM
11363,598,1,AMSTERDAM
12023,-1188,1,AMSTERDAM
10051,-13331,1,AMSTERDAM
9971,454,1,AMSTERDAM
13822,3603,1,AMSTERDAM
2255,674,1,AMSTERDAM
12601,-3009,1,AMSTERDAM
4693,-8027,1,AMSTERDAM
8824,-1571,1,AMSTERDAM
1910,397,1,AMSTERDAM
6392,-166,1,AMSTERDAM
6002,-3970,1,AMSTERDAM
13992,-83,1,AMSTERDAM
13487,3302,1,AMSTERDAM
7027,-759,1,AMSTERDAM
3036,14084,1,AMSTERDAM
2302,-1717,1,AMSTERDAM
5832,6988,1,AMSTERDAM
6543,1704,1,AMSTERDAM
7408,-2007,1,AMSTERDAM
