original_index,delta,period,city
587,-11160,1,ROTTERDAM
9333,-4019,1,ROTTERDAM
2279,-599,1,ROTTERDAM
8794,-431,1,ROTTERDAM
8422,1110,1,ROTTERDAM
2251,24568,1,ROTTERDAM
9971,158,1,ROTTERDAM
9079,-1854,1,ROTTERDAM
8336,-316,1,ROTTERDAM
832,-2104,1,ROTTERDAM
2511,-6792,1,ROTTERDAM
4640,-245,1,ROTTERDAM
4801,-156,1,ROTTERDAM
5343,-4218,1,ROTTERDAM
6102,-275,1,ROTTERDAM
5464,-14870,1,ROTTERDAM
6604,-471,1,ROTTERDAM
1012,-693,1,ROTTERDAM
7218,6786,1,ROTTERDAM
3959,8435,1,ROTTERDAM
5942,-354,1,ROTTERDAM
1154,2095,1,ROTTERDAM
5704,-3004,1,ROTTERDAM
5843,-1188,1,ROTTERDAM
7389,-393,1,ROTTERDAM
2037,-134,1,ROTTERDAM
6100,438,1,ROTTERDAM
3982,5970,1,ROTTERDAM
2751,-252,1,ROTTERDAM
3026,-752,1,ROTTERDAM
8144,-712,1,ROTTERDAM
5576,51,1,ROTTERDAM
836,-2798,1,ROTTERDAM
3809,-150,1,ROTTERDAM
2349,892,1,ROTTERDAM
5218,196,1,ROTTERDAM
9405,988,1,ROTTERDAM
360,5013,1,ROTTERDAM
3200,-45,1,ROTTERDAM
851,-618,1,ROTTERDAM
8121,-2721,1,ROTTERDAM
355,-12765,1,ROTTERDAM
1973,282,1,ROTTERDAM
7796,6043,1,ROTTERDAM
8476,693,1,ROTTERDAM
6887,1428,1,ROTTERDAM
7220,-754,1,ROTTERDAM
8914,-3337,1,ROTTERDAM
5711,-339,1,ROTTERDAM
5704,-3004,1,ROTTERDAM
1339,-2513,1,ROTTERDAM
3875,-1787,1,ROTTERDAM
6418,10894,1,ROTTERDAM
5336,-5341,1,ROTTERDAM
5164,-5615,1,ROTTERDAM
6378,-298,1,ROTTERDAM
8316,-1844,1,ROTTERDAM
8391,767,1,ROTTERDAM
5489,-133,1,ROTTERDAM
6929,-943,1,ROTTERDAM
6283,-1088,1,ROTTERDAM
1436,4713,1,ROTTERDAM
5758,419,1,ROTTERDAM
2144,-1330,1,ROTTERDAM
37,-302,1,ROTTERDAM
5035,6398,1,ROTTERDAM
8312,-1892,1,ROTTERDAM
3634,1690,1,ROTTERDAM
5535,1726,1,ROTTERDAM
6241,-2363,1,ROTTERDAM
6517,-39,1,ROTTERDAM
746,-510,1,ROTTERDAM
5338,572,1,ROTTERDAM
4656,1751,1,ROTTERDAM
2392,-15732,1,ROTTERDAM
5140,2307,1,ROTTERDAM
6269,-2890,1,ROTTERDAM
1628,-999,1,ROTTERDAM
2426,302,1,ROTTERDAM
5886,-1284,1,ROTTERDAM
8171,-1246,1,ROTTERDAM
9019,566,1,ROTTERDAM
1127,146,1,ROTTERDAM
1966,-6499,1,ROTTERDAM
337,4369,1,ROTTERDAM
3371,-545,1,ROTTERDAM
5395,1972,1,ROTTERDAM
3272,-1057,1,ROTTERDAM
8132,-2478,1,ROTTERDAM
5776,-396,1,ROTTERDAM
1766,235,1,ROTTERDAM
861,-1093,1,ROTTERDAM
6252,743,1,ROTTERDAM
2486,3287,1,ROTTERDAM
9761,140,1,ROTTERDAM
4852,-5655,1,ROTTERDAM
576,-4112,1,ROTTERDAM
2210,736,1,ROTTERDAM
3436,4352,1,ROTTERDAM
1262,-11950,1,ROTTERDAM
2628,-1228,1,ROTTERDAM
3606,-222,1,ROTTERDAM
2827,7,1,ROTTERDAM
24,2055,1,ROTTERDAM
8316,-1844,1,ROTTERDAM
5426,460,1,ROTTERDAM
9156,-25,1,ROTTERDAM
3747,-1407,1,ROTTERDAM
4225,-59,1,ROTTERDAM
1752,-1315,1,ROTTERDAM
4011,2534,1,ROTTERDAM
434,-338,1,ROTTERDAM
6084,-525,1,ROTTERDAM
5416,2400,1,ROTTERDAM
9930,276,1,ROTTERDAM
8476,693,1,ROTTERDAM
2693,1725,1,ROTTERDAM
7575,91,1,ROTTERDAM
1184,1345,1,ROTTERDAM
6713,-324,1,ROTTERDAM
5626,330,1,ROTTERDAM
3729,-3769,1,ROTTERDAM
7140,-1768,1,ROTTERDAM
2221,1119,1,ROTTERDAM
1310,1247,1,ROTTERDAM
4112,566,1,ROTTERDAM
7789,-578,1,ROTTERDAM
5253,-5899,1,ROTTERDAM
9905,-1145,1,ROTTERDAM
4043,3740,1,ROTTERDAM
140,2736,1,ROTTERDAM
8784,300,1,ROTTERDAM
4238,128,1,ROTTERDAM
177,-4640,1,ROTTERDAM
6630,-1874,1,ROTTERDAM
5636,1872,1,ROTTERDAM
8114,-2324,1,ROTTERDAM
7780,660,1,ROTTERDAM
7274,682,1,ROTTERDAM
5086,2468,1,ROTTERDAM
1252,-362,1,ROTTERDAM
2693,1725,1,ROTTERDAM
4138,4051,1,ROTTERDAM
9769,-1776,1,ROTTERDAM
9259,-801,1,ROTTERDAM
8711,-1240,1,ROTTERDAM
6734,504,1,ROTTERDAM
4200,-2376,1,ROTTERDAM
6795,-4161,1,ROTTERDAM
402,328,1,ROTTERDAM
8025,821,1,ROTTERDAM
9307,-793,1,ROTTERDAM
4485,-3787,1,ROTTERDAM
7300,609,1,ROTTERDAM
5072,6738,1,ROTTERDAM
1986,-1136,1,ROTTERDAM
5103,3219,1,ROTTERDAM
57,3738,1,ROTTERDAM
5335,-4481,1,ROTTERDAM
6929,-943,1,ROTTERDAM
1046,733,1,ROTTERDAM
1287,-9535,1,ROTTERDAM
2157,-1118,1,ROTTERDAM
6242,-1544,1,ROTTERDAM
7984,-833,1,ROTTERDAM
941,-10410,1,ROTTERDAM
5422,2098,1,ROTTERDAM
199,6884,1,ROTTERDAM
4685,7656,1,ROTTERDAM
2580,40,1,ROTTERDAM
206,-4060,1,ROTTERDAM
2575,-173,1,ROTTERDAM
6295,288,1,ROTTERDAM
3036,-1118,1,ROTTERDAM
6568,-1927,1,ROTTERDAM
8258,-910,1,ROTTERDAM
4254,340,1,ROTTERDAM
8642,1009,1,ROTTERDAM
8493,252,1,ROTTERDAM
3923,-2303,1,ROTTERDAM
9228,553,1,ROTTERDAM
2233,-1610,1,ROTTERDAM
4958,443,1,ROTTERDAM
5763,-19,1,ROTTERDAM
6286,-1135,1,ROTTERDAM
8150,-652,1,ROTTERDAM
4370,210,1,ROTTERDAM
2340,1180,1,ROTTERDAM
1532,1171,1,ROTTERDAM
724,2291,1,ROTTERDAM
6919,-914,1,ROTTERDAM
7433,2087,1,ROTTERDAM
1310,1247,1,ROTTERDAM
1660,-532,1,ROTTERDAM
207,5588,1,ROTTERDAM
1210,-39,1,ROTTERDAM
6240,-1425,1,ROTTERDAM
9250,1319,1,ROTTERDAM
5441,883,1,ROTTERDAM
3132,95,1,ROTTERDAM
4108,-445,1,ROTTERDAM
1974,-1802,1,ROTTERDAM
2930,-335,1,ROTTERDAM
3437,-168,1,ROTTERDAM
111,1474,1,ROTTERDAM
9386,1051,1,ROTTERDAM
9246,324,1,ROTTERDAM
4425,-1276,1,ROTTERDAM
9726,2079,1,ROTTERDAM
7130,192,1,ROTTERDAM
8686,-816,1,ROTTERDAM
8918,-3009,1,ROTTERDAM
5477,1110,1,ROTTERDAM
5712,1028,1,ROTTERDAM
8744,100,1,ROTTERDAM
9260,852,1,ROTTERDAM
3161,3031,1,ROTTERDAM
749,5751,1,ROTTERDAM
7753,34,1,ROTTERDAM
24,2055,1,ROTTERDAM
4832,-2859,1,ROTTERDAM
2693,1725,1,ROTTERDAM
5309,-2189,1,ROTTERDAM
9532,-3292,1,ROTTERDAM
141,-2150,1,ROTTERDAM
9894,232,1,ROTTERDAM
694,-1103,1,ROTTERDAM
6906,518,1,ROTTERDAM
3429,60,1,ROTTERDAM
3117,1796,1,ROTTERDAM
9401,-721,1,ROTTERDAM
6081,8913,1,ROTTERDAM
249,-12848,1,ROTTERDAM
6718,-201,1,ROTTERDAM
9175,-1102,1,ROTTERDAM
2107,-521,1,ROTTERDAM
5719,1310,1,ROTTERDAM
5880,-684,1,ROTTERDAM
7061,-199,1,ROTTERDAM
5186,2976,1,ROTTERDAM
1338,554,1,ROTTERDAM
1821,509,1,ROTTERDAM
8673,969,1,ROTTERDAM
1823,-557,1,ROTTERDAM
2947,648,1,ROTTERDAM
6173,-1630,1,ROTTERDAM
8126,3343,1,ROTTERDAM
5465,-7397,1,ROTTERDAM
2818,-3701,1,ROTTERDAM
9873,-2129,1,ROTTERDAM
2200,563,1,ROTTERDAM
3586,-4313,1,ROTTERDAM
6787,2724,1,ROTTERDAM
6113,-598,1,ROTTERDAM
5132,-1194,1,ROTTERDAM
9267,-3051,1,ROTTERDAM
1428,-571,1,ROTTERDAM
4367,-7605,1,ROTTERDAM
8191,-292,1,ROTTERDAM
349,205,1,ROTTERDAM
4285,5705,1,ROTTERDAM
5267,-1414,1,ROTTERDAM
4492,4439,1,ROTTERDAM
1933,805,1,ROTTERDAM
7437,-1055,1,ROTTERDAM
5771,1105,1,ROTTERDAM
2983,652,1,ROTTERDAM
5369,5884,1,ROTTERDAM
8048,-449,1,ROTTERDAM
1011,-455,1,ROTTERDAM
2079,3317,1,ROTTERDAM
8335,-266,1,ROTTERDAM
3419,583,1,ROTTERDAM
8122,69,1,ROTTERDAM
3764,427,1,ROTTERDAM
483,-138,1,ROTTERDAM
4299,-2721,1,ROTTERDAM
5632,1410,1,ROTTERDAM
248,-19752,1,ROTTERDAM
6227,-2063,1,ROTTERDAM
8097,186,1,ROTTERDAM
4806,2965,1,ROTTERDAM
2484,-406,1,ROTTERDAM
9464,-1012,1,ROTTERDAM
672,-3311,1,ROTTERDAM
5727,-414,1,ROTTERDAM
973,-22,1,ROTTERDAM
5964,698,1,ROTTERDAM
7473,806,1,ROTTERDAM
8638,-926,1,ROTTERDAM
2622,3856,1,ROTTERDAM
857,-414,1,ROTTERDAM
7241,1446,1,ROTTERDAM
2035,-339,1,ROTTERDAM
7600,1840,1,ROTTERDAM
1951,4930,1,ROTTERDAM
1383,-1265,1,ROTTERDAM
9577,-1085,1,ROTTERDAM
9140,-408,1,ROTTERDAM
2504,-6922,1,ROTTERDAM
862,530,1,ROTTERDAM
8552,1046,1,ROTTERDAM
9319,-1312,1,ROTTERDAM
5152,-754,1,ROTTERDAM
361,7955,1,ROTTERDAM
5974,8748,1,ROTTERDAM
7038,-979,1,ROTTERDAM
2368,-1445,1,ROTTERDAM
193,-4385,1,ROTTERDAM
5045,655,1,ROTTERDAM
735,9470,1,ROTTERDAM
1153,2270,1,ROTTERDAM
4232,-692,1,ROTTERDAM
203,4302,1,ROTTERDAM
1946,-522,1,ROTTERDAM
4084,3315,1,ROTTERDAM
635,7889,1,ROTTERDAM
5226,23,1,ROTTERDAM
5788,2980,1,ROTTERDAM
2407,1758,1,ROTTERDAM
8142,-807,1,ROTTERDAM
5869,356,1,ROTTERDAM
397,363,1,ROTTERDAM
3022,-3030,1,ROTTERDAM
2432,1230,1,ROTTERDAM
7413,-1545,1,ROTTERDAM
9566,678,1,ROTTERDAM
4821,-1100,1,ROTTERDAM
9312,-1272,1,ROTTERDAM
1897,-396,1,ROTTERDAM
